index,id,country,genus,species,lat,lon,date,upper,lower
1458,StW_370,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1459,StW_371,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1460,StW_372,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1461,StW_376,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1462,StW_377,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1463,StW_379,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1464,StW_38,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1465,StW_380,south_africa,australopithecus,africanus,-26.016,27.734,2.29,2.61,1.97
1466,StW_382,south_africa,australopithecus,africanus,-26.016,27.734,2.29,2.61,1.97
1467,StW_384,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1468,StW_385,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1469,StW_387,south_africa,australopithecus,africanus,-26.016,27.734,2.29,2.61,1.97
1470,StW_388,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1471,StW_389,south_africa,australopithecus,africanus,-26.016,27.734,2.29,2.61,1.97
1472,StW_39,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1473,StW_390,south_africa,australopithecus,africanus,-26.016,27.734,2.29,2.61,1.97
1474,StW_391,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1475,StW_392,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1476,StW_393,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1477,StW_394,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1478,StW_395,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1479,StW_396,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1480,StW_397,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1481,StW_398,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1482,StW_399,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1483,StW_4,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1484,StW_40,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1485,StW_400,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1486,StW_401,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1487,StW_402,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1488,StW_403,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1489,StW_404,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1490,StW_406,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1491,StW_408,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1492,StW_41,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1493,StW_410,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1494,StW_411,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1495,StW_412,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1496,StW_413,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1497,StW_414,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1498,StW_415,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1499,StW_417,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1500,StW_418,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1501,StW_420,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1502,StW_421,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1503,StW_422,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1504,StW_423,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1505,StW_424,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1506,StW_425,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1507,StW_428,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1508,StW_43,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1509,StW_430,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1510,StW_431,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
